retailer_id,retailer_name,region,channel,onboarded_date,credit_limit,default_score,contact_number,email_id,gst_registered
R019,Retailer_19,East,Offline,2019-10-22T00:00:00.000000000,23214.83277909404,0.6487957124686439,+91-9933439460,user19@retail.com,False
R020,Retailer_20,West,D2C,2019-01-27T00:00:00.000000000,44863.01697764951,0.9725755420686122,+91-9599401529,user20@retail.com,False
R021,Retailer_21,West,Modern Trade,2018-06-15T00:00:00.000000000,87949.88722782003,0.8938446376566346,+91-9318181351,user21@retail.com,False
R022,Retailer_22,North,D2C,2020-12-16T00:00:00.000000000,16344.564221503684,0.9115921791525889,+91-9291841330,user22@retail.com,False
R023,Retailer_23,North,Online,2020-11-10T00:00:00.000000000,23557.011960652613,0.9629572327139645,+91-9350301253,user23@retail.com,True
R024,Retailer_24,East,D2C,2022-06-28T00:00:00.000000000,57019.54800583978,0.4177676728600458,+91-9648159416,user24@retail.com,True
R025,Retailer_25,West,D2C,2016-10-15T00:00:00.000000000,54939.13725337932,0.14700706271159103,+91-9279635970,user25@retail.com,True
R026,Retailer_26,South,Modern Trade,2016-01-29T00:00:00.000000000,91550.46410881329,0.8964379401318027,+91-9584522437,user26@retail.com,True
R027,Retailer_27,North,Modern Trade,2015-07-03T00:00:00.000000000,78613.01266990269,0.8467045289393853,+91-9264790835,user27@retail.com,True
R028,Retailer_28,East,D2C,2017-06-01T00:00:00.000000000,35821.08224476681,0.7933505581362615,+91-9876810126,user28@retail.com,True
R029,Retailer_29,East,D2C,2015-12-05T00:00:00.000000000,73382.6457829575,0.6658623901833705,+91-9283872166,user29@retail.com,True
R030,Retailer_30,East,Modern Trade,2016-12-06T00:00:00.000000000,7431.454624168968,0.9568908078705379,+91-9339553867,user30@retail.com,True
R031,Retailer_31,South,Offline,2015-09-01T00:00:00.000000000,12033.006591385794,0.1784409313524935,+91-9728782736,user31@retail.com,True
R032,Retailer_32,West,D2C,2018-12-31T00:00:00.000000000,15606.214120717646,0.9701146211442517,+91-9498129758,user32@retail.com,False
R033,Retailer_33,East,Online,2016-03-11T00:00:00.000000000,61816.67362565429,0.8232780192642336,+91-9691361149,user33@retail.com,True
R034,Retailer_34,West,D2C,2016-02-13T00:00:00.000000000,70880.6812045405,0.31534591717408156,+91-9863943997,user34@retail.com,True
R035,Retailer_35,East,Modern Trade,2017-05-26T00:00:00.000000000,42566.222500678574,0.4558296565011202,+91-9925257472,user35@retail.com,True
R036,Retailer_36,South,Modern Trade,2022-07-06T00:00:00.000000000,70575.09335598932,0.18061898213100513,+91-9960449346,user36@retail.com,True
R037,Retailer_37,East,Modern Trade,2018-06-25T00:00:00.000000000,75236.32308832838,0.6738874339048636,+91-9930496808,user37@retail.com,False
R038,Retailer_38,West,D2C,2020-03-25T00:00:00.000000000,20439.438692526073,0.8773573319463236,+91-9738368305,user38@retail.com,True
R039,Retailer_39,North,Offline,2017-03-25T00:00:00.000000000,85617.58219051945,0.8690311371762116,+91-9439898163,user39@retail.com,False
R040,Retailer_40,North,Offline,2020-06-23T00:00:00.000000000,35462.21953991441,0.7294198518072917,+91-9262035149,user40@retail.com,False
R041,Retailer_41,North,Online,2019-12-07T00:00:00.000000000,42765.90482836394,0.19557715561042688,+91-9932658864,user41@retail.com,False
R042,Retailer_42,North,Modern Trade,2021-12-01T00:00:00.000000000,32394.107903655753,0.7587645899891532,+91-9881385717,user42@retail.com,False
R043,Retailer_43,South,Modern Trade,2017-06-20T00:00:00.000000000,93151.53864907217,0.22477431013431037,+91-9226742667,user43@retail.com,False
R044,Retailer_44,North,Modern Trade,2019-06-11T00:00:00.000000000,36339.494377397416,0.8291915201608134,+91-9652334694,user44@retail.com,False
R045,Retailer_45,South,Offline,2021-01-06T00:00:00.000000000,88376.6745979358,0.9976835812768452,+91-9293698964,user45@retail.com,False
R046,Retailer_46,North,Offline,2022-11-23T00:00:00.000000000,6835.411840464907,0.4220129211639748,+91-9503180777,user46@retail.com,True
R047,Retailer_47,West,D2C,2015-01-08T00:00:00.000000000,95424.2608033068,0.7174129057432815,+91-9357136754,user47@retail.com,True
R048,Retailer_48,South,Modern Trade,2020-03-13T00:00:00.000000000,11995.932528825291,0.7436909901669762,+91-9828480584,user48@retail.com,False
R049,Retailer_49,West,Online,2021-10-07T00:00:00.000000000,23969.465032072498,0.9686649879584579,+91-9623798272,user49@retail.com,False
R050,Retailer_50,North,Online,2016-04-01T00:00:00.000000000,9174.92114657007,0.3133846503902825,+91-9605192938,user50@retail.com,True
R051,Retailer_51,North,D2C,2016-03-19T00:00:00.000000000,56515.66761721815,0.38699449572476086,+91-9469502039,user51@retail.com,True
R052,Retailer_52,West,D2C,2020-09-17T00:00:00.000000000,24668.44391275856,0.9362040392958563,+91-9571019394,user52@retail.com,False
R053,Retailer_53,North,D2C,2016-11-17T00:00:00.000000000,25608.336409320123,0.1087331118248066,+91-9307693762,user53@retail.com,True
R054,Retailer_54,South,Modern Trade,2017-07-22T00:00:00.000000000,93170.74559154655,0.7188761525151638,+91-9765187320,user54@retail.com,False
R055,Retailer_55,East,D2C,2015-12-10T00:00:00.000000000,55879.389303582175,0.278912360975235,+91-9932409310,user55@retail.com,False
R056,Retailer_56,North,Modern Trade,2021-06-21T00:00:00.000000000,19031.921065209768,0.11256581448004188,+91-9714340948,user56@retail.com,True
R057,Retailer_57,West,D2C,2019-09-11T00:00:00.000000000,74002.32906811121,0.4383797985074034,+91-9209697743,user57@retail.com,False
R058,Retailer_58,East,Online,2020-04-04T00:00:00.000000000,11880.789388667028,0.26057093231098405,+91-9932212759,user58@retail.com,True
R059,Retailer_59,South,Offline,2021-11-03T00:00:00.000000000,80723.0745055095,0.16375699841564717,+91-9180716061,user59@retail.com,False
R060,Retailer_60,South,Modern Trade,2022-02-09T00:00:00.000000000,7236.932953744645,0.511509898826313,+91-9339245017,user60@retail.com,False
R061,Retailer_61,North,D2C,2019-12-19T00:00:00.000000000,17008.676025967347,0.4468334952371614,+91-9310266756,user61@retail.com,True
R062,Retailer_62,South,Online,2017-10-25T00:00:00.000000000,24746.240793886194,0.7141976035165042,+91-9756055370,user62@retail.com,True
R063,Retailer_63,South,D2C,2019-03-22T00:00:00.000000000,34262.47238441744,0.5517710101860908,+91-9410631556,user63@retail.com,False
R064,Retailer_64,South,Offline,2015-11-06T00:00:00.000000000,79770.47834818714,0.12525479582984467,+91-9679184014,user64@retail.com,False
R065,Retailer_65,South,Offline,2018-09-09T00:00:00.000000000,80446.66231354895,0.20241457890966885,+91-9285826457,user65@retail.com,True
R066,Retailer_66,South,Offline,2019-09-28T00:00:00.000000000,14997.001987469166,0.5623445371702345,+91-9256518035,user66@retail.com,True
R067,Retailer_67,East,Offline,2019-07-26T00:00:00.000000000,75105.60008583489,0.11381969178442752,+91-9421987942,user67@retail.com,True
R068,Retailer_68,West,Online,2018-05-01T00:00:00.000000000,67361.18454151307,0.6781591374599015,+91-9408291879,user68@retail.com,False
R069,Retailer_69,North,Online,2016-01-06T00:00:00.000000000,31419.539124217114,0.552523599941514,+91-9673278274,user69@retail.com,True
R070,Retailer_70,East,Offline,2021-05-09T00:00:00.000000000,54635.61358006169,0.18923799463938717,+91-9381245706,user70@retail.com,False
R071,Retailer_71,North,D2C,2021-09-29T00:00:00.000000000,96699.74233072992,0.39304945377167655,+91-9327227998,user71@retail.com,True
R072,Retailer_72,West,Modern Trade,2021-09-05T00:00:00.000000000,49303.01989161247,0.033266444804788686,+91-9158804167,user72@retail.com,True
R073,Retailer_73,North,Modern Trade,2015-12-10T00:00:00.000000000,34994.627577643594,0.49373331714663193,+91-9214405419,user73@retail.com,True
R074,Retailer_74,West,D2C,2021-05-26T00:00:00.000000000,50171.50031289437,0.3148007772945367,+91-9267316134,user74@retail.com,False
R075,Retailer_75,South,Online,2021-01-18T00:00:00.000000000,78343.55306017166,0.4930718737620553,+91-9449882680,user75@retail.com,False
R076,Retailer_76,South,D2C,2015-11-21T00:00:00.000000000,10532.661788422993,0.3261559269251497,+91-9552522513,user76@retail.com,False
R077,Retailer_77,East,Offline,2020-07-29T00:00:00.000000000,87873.72598274988,0.2854783858819552,+91-9125831715,user77@retail.com,True
R078,Retailer_78,West,Offline,2021-04-14T00:00:00.000000000,73211.86224965578,0.42763247819164796,+91-9874938825,user78@retail.com,False
R079,Retailer_79,East,Modern Trade,2018-07-31T00:00:00.000000000,23084.75607598222,0.5283939152003286,+91-9143439435,user79@retail.com,True
R080,Retailer_80,West,Offline,2022-04-09T00:00:00.000000000,72403.72280051396,0.8285639325542378,+91-9822733423,user80@retail.com,True
R081,Retailer_81,North,Online,2020-08-18T00:00:00.000000000,82253.16695881149,0.17037778080413812,+91-9782521625,user81@retail.com,True
R082,Retailer_82,West,Online,2015-08-31T00:00:00.000000000,54613.91798961705,0.9057936832017858,+91-9150605282,user82@retail.com,False
R083,Retailer_83,West,Offline,2020-01-30T00:00:00.000000000,30067.35014081479,0.23788017988871568,+91-9228080711,user83@retail.com,False
R084,Retailer_84,West,D2C,2017-01-10T00:00:00.000000000,93861.04167508602,0.3296090558833874,+91-9961089324,user84@retail.com,True
R085,Retailer_85,North,Online,2017-07-23T00:00:00.000000000,32120.36551552393,0.36684534096833954,+91-9601677657,user85@retail.com,True
R086,Retailer_86,South,D2C,2018-02-01T00:00:00.000000000,29532.861497161553,0.6387003899213293,+91-9287794832,user86@retail.com,True
R087,Retailer_87,East,Online,2021-10-18T00:00:00.000000000,90636.54827295122,0.5647059652985196,+91-9944872885,user87@retail.com,True
R088,Retailer_88,West,Modern Trade,2022-11-28T00:00:00.000000000,20113.73319892286,0.8530116749085692,+91-9999329958,user88@retail.com,True
R089,Retailer_89,North,Offline,2016-02-06T00:00:00.000000000,25793.159419303294,0.01923718355531534,+91-9166744200,user89@retail.com,True
R090,Retailer_90,East,D2C,2016-08-04T00:00:00.000000000,9874.283747314657,0.5027822662189193,+91-9920732750,user90@retail.com,False
R091,Retailer_91,South,Online,2017-12-23T00:00:00.000000000,40457.04477649791,0.5336916742438363,+91-9173630878,user91@retail.com,True
R092,Retailer_92,North,Online,2015-03-29T00:00:00.000000000,44702.86657608039,0.3953975076404379,+91-9993462264,user92@retail.com,True
R093,Retailer_93,North,D2C,2017-10-12T00:00:00.000000000,31152.962061468268,0.18165554082702362,+91-9519675777,user93@retail.com,True
R094,Retailer_94,East,D2C,2022-03-13T00:00:00.000000000,16550.501265206505,0.4335530259576391,+91-9683852296,user94@retail.com,True
R095,Retailer_95,East,Online,2018-03-20T00:00:00.000000000,89399.93980370258,0.39662475566302746,+91-9518395139,user95@retail.com,True
R096,Retailer_96,West,D2C,2022-12-26T00:00:00.000000000,5367.559344295558,0.21358589349004553,+91-9942747471,user96@retail.com,False
R097,Retailer_97,East,D2C,2018-06-25T00:00:00.000000000,60178.612065827765,0.6847902824444169,+91-9602092098,user97@retail.com,False
R098,Retailer_98,South,Offline,2021-12-12T00:00:00.000000000,78032.2377437089,0.10633393174784289,+91-9716483283,user98@retail.com,False
R099,Retailer_99,East,Online,2019-04-06T00:00:00.000000000,52188.74269308107,0.17892907619402554,+91-9613298162,user99@retail.com,True
R100,Retailer_100,East,Modern Trade,2021-10-11T00:00:00.000000000,27018.156674246133,0.6826476458646024,+91-9263080989,user100@retail.com,True
R101,Retailer_101,South,Modern Trade,2018-11-27T00:00:00.000000000,34856.45507425895,0.5739415603666735,+91-9865036829,user101@retail.com,False
R102,Retailer_102,North,D2C,2019-03-26T00:00:00.000000000,17724.25924559842,0.28272570348714887,+91-9285030323,user102@retail.com,True
R103,Retailer_103,North,Offline,2016-06-01T00:00:00.000000000,79596.61864691337,0.45885093795249354,+91-9975506877,user103@retail.com,True
R104,Retailer_104,South,Modern Trade,2021-04-04T00:00:00.000000000,66178.87662681661,0.31991165459635273,+91-9620505761,user104@retail.com,False
R105,Retailer_105,North,D2C,2019-01-16T00:00:00.000000000,39886.11580779173,0.6916281582836947,+91-9544892284,user105@retail.com,False
R106,Retailer_106,West,Offline,2019-01-05T00:00:00.000000000,30403.89206101045,0.4456554234707698,+91-9437508646,user106@retail.com,True
R107,Retailer_107,East,D2C,2016-09-08T00:00:00.000000000,95402.12292435697,0.469736094803866,+91-9680066193,user107@retail.com,True
R108,Retailer_108,North,Online,2017-08-09T00:00:00.000000000,50063.83733119984,0.37969888074222746,+91-9450029093,user108@retail.com,False
R109,Retailer_109,North,D2C,2022-12-14T00:00:00.000000000,90109.88733035438,0.13174211316184825,+91-9296336183,user109@retail.com,True
R110,Retailer_110,West,D2C,2016-10-12T00:00:00.000000000,34134.05942583552,0.8579673196005752,+91-9176612692,user110@retail.com,False
R111,Retailer_111,South,Modern Trade,2015-01-01T00:00:00.000000000,69304.4087895347,0.04441862508365624,+91-9695498827,user111@retail.com,False
R112,Retailer_112,West,Offline,2018-10-09T00:00:00.000000000,95551.83167290951,0.9505267841095751,+91-9147080756,user112@retail.com,True
R113,Retailer_113,East,D2C,2018-08-15T00:00:00.000000000,16056.769336454197,0.755589484578899,+91-9658636704,user113@retail.com,True
R114,Retailer_114,West,D2C,2020-06-10T00:00:00.000000000,9907.127904394021,0.475985764571085,+91-9341144329,user114@retail.com,True
R115,Retailer_115,East,Modern Trade,2015-11-17T00:00:00.000000000,23304.020485444424,0.6901275579205999,+91-9274218526,user115@retail.com,True
R116,Retailer_116,North,Online,2019-02-11T00:00:00.000000000,90302.52948560526,0.5272294949236654,+91-9394928199,user116@retail.com,False
R117,Retailer_117,East,Online,2017-01-26T00:00:00.000000000,98590.96709524601,0.2456163204442534,+91-9790071342,user117@retail.com,False
R118,Retailer_118,South,Online,2020-07-07T00:00:00.000000000,79964.87132086515,0.4653235153921881,+91-9688073625,user118@retail.com,True
R119,Retailer_119,North,Offline,2015-12-23T00:00:00.000000000,98913.2259327189,0.5418842530991906,+91-9736843086,user119@retail.com,True
R120,Retailer_120,North,Offline,2018-10-12T00:00:00.000000000,49628.86492120017,0.007034523933161507,+91-9671689985,user120@retail.com,True
R121,Retailer_121,East,Modern Trade,2020-08-30T00:00:00.000000000,66924.5819516992,0.7365635803454713,+91-9569493734,user121@retail.com,True
R122,Retailer_122,North,D2C,2019-04-22T00:00:00.000000000,47594.91354554492,0.8776456463964667,+91-9700947950,user122@retail.com,True
R123,Retailer_123,North,Modern Trade,2019-06-20T00:00:00.000000000,92130.619066165,0.1423100119492865,+91-9249213633,user123@retail.com,True
R124,Retailer_124,East,D2C,2015-11-08T00:00:00.000000000,37695.185122491166,0.7628917175986646,+91-9524960146,user124@retail.com,True
R125,Retailer_125,West,D2C,2016-04-30T00:00:00.000000000,79939.98174805896,0.5109446197474733,+91-9306362736,user125@retail.com,True
R126,Retailer_126,North,Offline,2016-04-01T00:00:00.000000000,84986.45385288101,0.8037634878583232,+91-9413350577,user126@retail.com,True
R127,Retailer_127,North,Modern Trade,2020-10-22T00:00:00.000000000,52208.50546417265,0.9998547306552622,+91-9717091257,user127@retail.com,True
R128,Retailer_128,East,Modern Trade,2017-08-30T00:00:00.000000000,15480.665698253963,0.7807876848678744,+91-9412408207,user128@retail.com,False
R129,Retailer_129,West,Online,2016-08-23T00:00:00.000000000,30185.194774003205,0.35480560957880036,+91-9717949113,user129@retail.com,False
R130,Retailer_130,South,Modern Trade,2015-06-16T00:00:00.000000000,38518.95698235059,0.3368480432271036,+91-9534486541,user130@retail.com,False
R131,Retailer_131,East,Online,2018-11-23T00:00:00.000000000,21753.541303839407,0.37456081088324333,+91-9620060261,user131@retail.com,False
R132,Retailer_132,West,D2C,2016-09-23T00:00:00.000000000,42516.13359117777,0.4809899134008825,+91-9540955988,user132@retail.com,True
R133,Retailer_133,North,Offline,2019-01-15T00:00:00.000000000,73516.36012433314,0.879610938392983,+91-9179826588,user133@retail.com,True
R134,Retailer_134,East,Online,2015-10-26T00:00:00.000000000,42809.89869423979,0.9795474933057687,+91-9642384012,user134@retail.com,False
R135,Retailer_135,North,D2C,2019-05-20T00:00:00.000000000,65264.364868927616,0.17129885904331876,+91-9905195337,user135@retail.com,True
R136,Retailer_136,South,Online,2015-04-04T00:00:00.000000000,74824.64541835402,0.31066358173878383,+91-9757661474,user136@retail.com,False
R137,Retailer_137,South,Online,2016-10-05T00:00:00.000000000,17484.563070462886,0.1971012370013988,+91-9709144652,user137@retail.com,False
R138,Retailer_138,East,D2C,2020-12-18T00:00:00.000000000,92883.47568495951,0.6877889833168088,+91-9792845272,user138@retail.com,True
R139,Retailer_139,South,Online,2019-02-16T00:00:00.000000000,79950.3806542579,0.7410080520315199,+91-9308048263,user139@retail.com,True
R140,Retailer_140,North,Offline,2017-09-01T00:00:00.000000000,18297.670462495254,0.13258693918605247,+91-9114257447,user140@retail.com,True
R141,Retailer_141,South,Online,2020-04-24T00:00:00.000000000,5530.739924208409,0.22778178167724583,+91-9231785744,user141@retail.com,True
R142,Retailer_142,North,D2C,2018-06-17T00:00:00.000000000,50761.28236029878,0.46462638067214257,+91-9539715020,user142@retail.com,True
R143,Retailer_143,East,Modern Trade,2018-10-01T00:00:00.000000000,35243.93733284874,0.27226648480564664,+91-9350480419,user143@retail.com,True
R144,Retailer_144,West,Offline,2017-10-30T00:00:00.000000000,98458.32070567274,0.19687981087877549,+91-9525227723,user144@retail.com,True
R145,Retailer_145,West,Offline,2021-01-30T00:00:00.000000000,66571.0884004821,0.08507157966532353,+91-9596636767,user145@retail.com,True
R146,Retailer_146,South,D2C,2018-04-25T00:00:00.000000000,13682.289061933096,0.03639224771279803,+91-9689414415,user146@retail.com,True
R147,Retailer_147,North,Modern Trade,2022-07-10T00:00:00.000000000,89800.22401394846,0.817650148773131,+91-9856740743,user147@retail.com,False
R148,Retailer_148,South,D2C,2021-11-03T00:00:00.000000000,67422.75023952013,0.32231368014892203,+91-9993353188,user148@retail.com,False
R149,Retailer_149,North,Online,2020-06-24T00:00:00.000000000,81777.34861123175,0.0032102861935936478,+91-9513153047,user149@retail.com,True
R150,Retailer_150,East,Offline,2020-08-30T00:00:00.000000000,28126.67568778474,0.8413183989643426,+91-9500651845,user150@retail.com,True
R151,Retailer_151,South,Offline,2017-09-19T00:00:00.000000000,41691.0053369476,0.7205377502177294,+91-9271521518,user151@retail.com,True
R152,Retailer_152,North,Modern Trade,2019-08-14T00:00:00.000000000,19734.646433922924,0.6987078034335946,+91-9615051567,user152@retail.com,False
R153,Retailer_153,West,Modern Trade,2019-11-09T00:00:00.000000000,95278.55034567286,0.8433718295016618,+91-9838969447,user153@retail.com,True
R154,Retailer_154,South,Offline,2016-10-01T00:00:00.000000000,45208.85618226659,0.5844092805662345,+91-9413858374,user154@retail.com,False
R155,Retailer_155,South,D2C,2022-06-27T00:00:00.000000000,56552.03290334588,0.27431529725667303,+91-9391465672,user155@retail.com,False
R156,Retailer_156,North,Modern Trade,2015-01-03T00:00:00.000000000,9380.885544580009,0.06359219295864982,+91-9843980404,user156@retail.com,False
R157,Retailer_157,South,Offline,2018-11-10T00:00:00.000000000,16304.22027334252,0.46659373276519955,+91-9278815996,user157@retail.com,False
R158,Retailer_158,East,Modern Trade,2015-07-07T00:00:00.000000000,35866.10445960437,0.5411727456068872,+91-9630331103,user158@retail.com,True
R159,Retailer_159,West,Online,2020-12-20T00:00:00.000000000,64630.599829435836,0.8202315113008917,+91-9698581321,user159@retail.com,False
R160,Retailer_160,East,Offline,2020-05-08T00:00:00.000000000,59845.29010877904,0.9501299568965496,+91-9141472000,user160@retail.com,True
R161,Retailer_161,North,Online,2018-10-17T00:00:00.000000000,31303.72197873831,0.26855769475971136,+91-9548703867,user161@retail.com,False
R162,Retailer_162,West,Online,2022-06-15T00:00:00.000000000,34998.25753489807,0.7985514187958171,+91-9302872013,user162@retail.com,False
R163,Retailer_163,East,Online,2017-07-19T00:00:00.000000000,71907.04717537176,0.8672809218225456,+91-9479727382,user163@retail.com,False
R164,Retailer_164,North,Online,2020-09-27T00:00:00.000000000,80967.40070949338,0.5456081729263892,+91-9651112750,user164@retail.com,True
R165,Retailer_165,West,Offline,2020-07-21T00:00:00.000000000,13480.699552994862,0.7214036001561467,+91-9659464207,user165@retail.com,False
R166,Retailer_166,South,D2C,2015-04-18T00:00:00.000000000,42938.84015370207,0.7274182774872563,+91-9900764862,user166@retail.com,True
R167,Retailer_167,North,D2C,2016-08-06T00:00:00.000000000,49913.6716796797,0.6953677133646612,+91-9754178357,user167@retail.com,True
R168,Retailer_168,South,Modern Trade,2017-03-29T00:00:00.000000000,30847.136333327264,0.7997103204743483,+91-9666034634,user168@retail.com,False
R169,Retailer_169,North,D2C,2018-02-12T00:00:00.000000000,93444.10129133903,0.22388253344258235,+91-9981218331,user169@retail.com,False
R170,Retailer_170,South,Offline,2021-04-16T00:00:00.000000000,5411.028384683225,0.8109781315280238,+91-9351796366,user170@retail.com,True
R171,Retailer_171,North,D2C,2020-02-07T00:00:00.000000000,94953.4584129637,0.5194906283485197,+91-9565607325,user171@retail.com,True
R172,Retailer_172,East,Offline,2018-07-15T00:00:00.000000000,89673.68389227967,0.33444169777874144,+91-9230944367,user172@retail.com,True
R173,Retailer_173,West,D2C,2017-03-20T00:00:00.000000000,14161.796863121433,0.30596154958699884,+91-9296088104,user173@retail.com,False
R174,Retailer_174,North,Offline,2019-08-03T00:00:00.000000000,49372.174782548456,0.9182724608835926,+91-9943467582,user174@retail.com,True
R175,Retailer_175,South,D2C,2020-08-16T00:00:00.000000000,63202.46289970954,0.5605804508812035,+91-9499837044,user175@retail.com,True
R176,Retailer_176,South,Online,2017-04-02T00:00:00.000000000,67070.1816471121,0.70813861215492,+91-9771473814,user176@retail.com,False
R177,Retailer_177,South,Offline,2015-12-24T00:00:00.000000000,36667.00490591776,0.8939782628528129,+91-9516672913,user177@retail.com,True
R178,Retailer_178,North,Offline,2020-12-03T00:00:00.000000000,97598.66642396283,0.7345132961592674,+91-9931000693,user178@retail.com,False
R179,Retailer_179,North,Offline,2017-01-03T00:00:00.000000000,19463.745251749056,0.9295527918584168,+91-9896302069,user179@retail.com,False
R180,Retailer_180,North,Modern Trade,2020-10-03T00:00:00.000000000,20104.7457220886,0.7437515025045612,+91-9766394098,user180@retail.com,True
R181,Retailer_181,North,Modern Trade,2016-12-05T00:00:00.000000000,5744.624998573218,0.43413253779452654,+91-9589278391,user181@retail.com,False
R182,Retailer_182,North,Offline,2022-11-14T00:00:00.000000000,55890.43351271352,0.44308125864560155,+91-9400937934,user182@retail.com,True
R183,Retailer_183,East,Online,2021-07-17T00:00:00.000000000,57482.42633277221,0.36219763579736053,+91-9562849541,user183@retail.com,False
R184,Retailer_184,South,Modern Trade,2021-04-25T00:00:00.000000000,50439.422520428714,0.13378463213424574,+91-9780040130,user184@retail.com,True
R185,Retailer_185,East,Offline,2017-10-01T00:00:00.000000000,86743.4826321612,0.18647395609781592,+91-9793677465,user185@retail.com,True
R186,Retailer_186,West,Online,2022-06-27T00:00:00.000000000,28372.123695293525,0.49944611110713355,+91-9519252295,user186@retail.com,True
R187,Retailer_187,South,Modern Trade,2022-02-04T00:00:00.000000000,41724.901973310894,0.5554286269368828,+91-9948175364,user187@retail.com,False
R188,Retailer_188,West,D2C,2021-07-08T00:00:00.000000000,98579.60132263233,0.873892131951999,+91-9915050607,user188@retail.com,True
R189,Retailer_189,South,D2C,2015-09-05T00:00:00.000000000,62010.96965478359,0.14835689871639224,+91-9873987325,user189@retail.com,True
R190,Retailer_190,West,Offline,2018-05-03T00:00:00.000000000,97370.75918001503,0.8525015910407839,+91-9260657314,user190@retail.com,True
R191,Retailer_191,South,Online,2022-10-24T00:00:00.000000000,21087.635784443584,0.6966040905630406,+91-9640015438,user191@retail.com,True
R192,Retailer_192,East,Modern Trade,2020-03-16T00:00:00.000000000,13498.848146013523,0.3036127136283341,+91-9273721336,user192@retail.com,True
R193,Retailer_193,South,D2C,2020-01-09T00:00:00.000000000,57132.05575970729,0.1412499700686357,+91-9803779331,user193@retail.com,True
R194,Retailer_194,East,D2C,2021-09-18T00:00:00.000000000,56210.172076423565,0.41283265270493763,+91-9838529654,user194@retail.com,False
R195,Retailer_195,South,Modern Trade,2020-10-02T00:00:00.000000000,68197.23697847761,0.7989641792837411,+91-9821434473,user195@retail.com,True
R196,Retailer_196,West,D2C,2019-09-06T00:00:00.000000000,91574.99579716046,0.035296585101164846,+91-9935461297,user196@retail.com,False
R197,Retailer_197,South,Offline,2020-06-12T00:00:00.000000000,75514.45084969373,0.7159694970230616,+91-9668066448,user197@retail.com,False
R198,Retailer_198,North,Offline,2015-11-04T00:00:00.000000000,45320.064484395094,0.12924714527972825,+91-9928975496,user198@retail.com,False
R199,Retailer_199,North,Online,2019-08-31T00:00:00.000000000,11174.812095838002,0.260156400434965,+91-9904148781,user199@retail.com,False
R200,Retailer_200,South,Offline,2018-06-30T00:00:00.000000000,76865.8997775307,0.11243163694661795,+91-9727132640,user200@retail.com,False
R201,Retailer_201,West,Online,2021-07-13T00:00:00.000000000,85956.91731056894,0.5848369313317734,+91-9399621188,user201@retail.com,True
R202,Retailer_202,East,Online,2022-02-22T00:00:00.000000000,5696.21859207361,0.42689935267157675,+91-9718652322,user202@retail.com,True
