Capacity (MW),Fuel Type,Technology Type,Commissioning Date,Emissions Data,Regulatory Information,Renewable Energy Credits (RECs),Market Region,Generation Profile,Transmission/Distribution Information,Maintenance and Outages,Financial Data,Environmental Impact,Fuel Supply,Fuel Costs
404.7639881,Solar,Gas Turbine,02-06-1982,19.25224369,Direction statement full arrive back account across.,21,Montserrat,2780.405234,Building evidence hope know from.,How security thing time executive course road.,1375846.292,Real could discussion help bill piece know Democrat.,Near off threat example.,99.34452867
314.6270333,Solar,Solar PV,09-10-2000,18.11145851,Right point hundred similar follow.,92,Argentina,5615.868175,Tv television accept stand who structure.,City appear throw together.,6615626.181,Draw whom various rate.,Will rock physical.,90.90164942
36.86584342,Coal,Gas Turbine,09-12-1981,5.802001173,Degree forget test child rule part population.,58,United States Virgin Islands,6856.118106,Bank again able across human agent either.,Administration impact guess debate themselves challenge administration join.,3305248.792,Sense economy reality shoulder.,Right tonight page season explain yard decade.,21.2814119
797.7287566,Coal,Gas Turbine,22-11-1991,90.20157269,Player give meet administration bank direction away.,7,French Guiana,9889.354531,Assume event top officer according.,Involve training new edge gas across could.,3829724.521,Full someone usually discuss kid.,Executive decade decision see group.,28.97937742
347.0054672,Solar,Gas Turbine,29-01-1992,13.19623826,Remain popular owner sure majority best.,78,Congo,1231.903772,Soon including art note tough.,Over side fly later act financial go.,5461346.91,Apply remain source line his evidence.,Responsibility event growth high oil.,21.00414077
595.5778941,Solar,Steam Turbine,24-11-1995,36.5857674,Mind many serious something station face notice.,36,Saint Lucia,8456.565581,Least expect live.,Hour lead upon medical.,8528230.264,According market across.,Impact value traditional night arm assume finish.,37.754645
677.3704302,Natural Gas,Steam Turbine,14-05-1992,84.71769285,Popular difference some list research democratic.,82,Egypt,1449.625076,From hit adult fight must evening.,Organization support stock particular hotel.,1284190.567,South oil smile rock year always and student.,Approach a image hear himself garden.,41.52228369
633.5807885,Natural Gas,Solar PV,17-02-1998,75.31643355,Green expert data dark gun manager article.,61,Equatorial Guinea,2417.588196,Account bit avoid even a.,Guy water federal wait young office yard.,9133973.166,Return general own significant music minute east collection.,Chance management surface own return left.,11.7477108
502.6308502,Wind,Steam Turbine,19-05-1979,83.31528293,By world just across attention project.,19,Montenegro,7906.561862,Three board everything seat help.,Little war picture conference reality.,8480172.865,Bit short network activity stock.,Over role with pressure.,31.46725713
957.3182518,Solar,Hydro,08-05-1989,83.14875243,Return society serious major according once tend town.,100,France,4818.418522,Go investment them note protect my accept.,Case coach hard free real any.,3372276.756,Event hard enjoy finish dream really.,What sense scene.,95.54890505
269.3292258,Solar,Solar PV,07-01-1976,5.121585109,Leg pick security mouth.,38,Bosnia and Herzegovina,1461.333452,Wall shake make full these different science.,Nearly director will structure anything character ready.,8501086.686,Poor during near authority.,Interesting air brother structure population.,86.14089861
266.5858605,Coal,Steam Turbine,24-02-1978,25.4186737,Continue not so get degree trial participant.,88,Costa Rica,570.4335595,Develop young network high treat into western.,Let institution street black.,3523376.313,Lose pretty foreign something last.,Pay nation suggest image sing another on.,42.99990983
502.4467016,Coal,Gas Turbine,22-12-1983,0.635812873,Popular throw put north.,42,Mozambique,3661.301506,Adult partner natural policy first today.,Remember player look heavy.,4597030.439,Peace feeling water hold so.,Everybody keep drop physical similar sing.,73.73866873
148.6269398,Solar,Solar PV,24-04-1993,85.74826425,Sell understand realize form.,33,Ecuador,3675.72711,Executive worker get sit place.,Month white career behind follow ask save determine.,3272411.446,Top check move and laugh campaign just.,Student wind industry offer election future cultural.,17.7441311
998.2712206,Wind,Hydro,16-09-1977,9.856680347,Kid response hope heart paper.,82,Belize,2022.623164,Again tough heart sense book already remember.,Forward indicate method military him.,8567695.289,Bring hit PM stock fly get statement.,Fast Democrat the involve.,39.27810256
512.837827,Coal,Steam Turbine,31-10-1991,38.77945688,Economic team hour forward free.,10,Indonesia,3047.108019,Eye public security do you kitchen doctor.,High write camera eat.,6154080.459,Others director second like above bag.,Picture natural when police Mrs woman dark.,36.64712898
453.75317,Solar,Steam Turbine,19-02-1976,0.091714684,Whose Democrat represent list anything.,66,Norway,6819.506026,Myself name television child.,Oil eat instead set wind occur cover enough.,8440762.534,Chance course his window.,Government cause how maybe.,62.71066595
363.8478178,Natural Gas,Solar PV,03-06-1995,58.66665778,Above form from arm truth.,3,Cote d'Ivoire,7586.162935,Dog suggest nearly health type civil.,Charge whatever general.,1265325.756,Age meeting probably lot benefit Mr.,Public develop sign ball rock up research.,78.13901308
903.1893429,Solar,Solar PV,10-10-1973,25.80863813,Pretty success teacher move unit social consumer.,80,Denmark,8317.722804,Lay practice against sure ground strong.,Back yeah break citizen small billion wrong.,6507926.396,Table teacher page challenge light.,Appear series success support second.,39.70534727
538.4263786,Natural Gas,Solar PV,06-09-1974,58.21763442,With theory yet produce money TV best.,85,Kyrgyz Republic,6359.998343,Course anything service practice teach score.,Him guy prove happy management.,8069938.491,Citizen city magazine involve force.,Election race shake structure go.,77.29430395
803.8941206,Solar,Steam Turbine,12-11-1981,62.98670753,Both avoid someone me exist company.,92,Lesotho,1637.696111,Mrs easy cut growth bit.,Card produce sport how figure state stay.,4499992.867,Tough start usually inside number director note.,Together woman bring administration culture production.,13.76625771
335.3051337,Solar,Steam Turbine,18-07-1977,96.9257858,Vote education site cup quality Republican well.,1,Rwanda,8530.21,Single near budget itself student address step reduce.,Along third trouble remain again often degree.,4438304.267,Chance relate value suffer decide.,Need process reflect rise break ok.,42.62175068
829.5169568,Wind,Steam Turbine,14-05-2000,26.41880083,Start out commercial reflect.,47,Northern Mariana Islands,6862.506754,Management door modern between purpose.,Ball laugh could do.,7467551.183,Possible thousand share group answer sing lawyer final.,And his common four response stop letter.,61.49469238
484.8904848,Coal,Steam Turbine,21-07-1973,61.3823367,Reveal hair child most foot similar.,58,Ireland,1473.98341,Pass despite TV minute put miss.,Several see loss score wall might sea.,6816171.457,Add better risk society game suddenly case.,Attack sell yard sell.,27.00541042
595.585028,Solar,Hydro,23-04-2002,25.0094435,Other always agree safe reason sell.,95,Austria,2903.420615,Red fear leg.,Alone mission ask surface.,6755932.199,Party her image action difference.,Worker just politics performance theory.,35.69125689
614.0003745,Wind,Gas Turbine,04-03-1976,42.74667886,Size particular poor though stage town just.,85,Georgia,5683.264959,Trouble only kitchen address.,Happen actually color whom deal western before.,4547775.01,Together fill official body.,After yourself little maybe room early why air.,20.90712489
688.9905534,Wind,Solar PV,26-01-1996,64.75934022,Future remember out claim population community tend.,99,Uganda,8363.89337,Sometimes seven religious food participant name.,Firm against go finish our cell model scientist.,8100699.703,Into nor decide play appear.,Spend message available TV hit center seven.,44.55770977
261.4344479,Wind,Gas Turbine,18-04-1991,62.56589585,Hospital mother visit bad spend reach.,75,Tunisia,5620.13653,Door job rate agreement these entire.,Behind recognize create population.,7245124.516,Before American traditional agree.,Animal economic card city investment many.,46.55385474
177.5605039,Wind,Steam Turbine,29-12-1978,14.92872706,Down will bag these than son.,87,Somalia,3725.286851,Clear go similar rate.,Change indeed vote fact effect again.,6886817.724,Low whose our somebody form three.,Different bit three southern.,89.53069662
793.0046787,Natural Gas,Solar PV,10-04-1976,55.07765759,Executive threat trouble beyond.,98,Jersey,6583.911302,Upon start amount provide between according.,Probably toward finish series.,5960525.147,Life senior at government couple.,Small go find great and.,17.54393762
730.4905166,Solar,Solar PV,25-09-2003,53.77784608,Though pressure set world.,98,Somalia,1067.146641,His skill offer.,Meeting include though hard bring garden.,3049111.526,Control music the will.,Study blue same current traditional group key.,97.84361571
139.7904962,Solar,Gas Turbine,04-02-1983,79.23844653,Read activity example change enter.,52,American Samoa,6509.784127,Attack town east.,Bit quite current more include Republican.,9240074.353,Team culture ago various project affect pressure customer.,Every career off.,78.10261912
765.3402609,Natural Gas,Solar PV,09-11-1976,41.52503937,Majority something current bag Democrat.,93,Tokelau,6550.443073,Painting stage your least.,Usually every act.,9547443.59,Stuff century environmental.,Upon white piece order shake.,61.67859295
691.7628379,Coal,Gas Turbine,09-04-1978,26.13252904,Really every bar another.,83,Mexico,1981.241312,State perform product easy term yet how.,Reason concern ok.,4410750.134,Perhaps industry although television character.,However air from trouble which gun religious perform.,82.25273676
994.8220739,Natural Gas,Gas Turbine,27-09-2002,87.11282776,Talk truth PM bag memory.,13,Georgia,168.284345,Rather above task style point wide whatever risk.,Argue choose same century father.,5734866.624,Give line trip method executive six particularly.,Similar red at yeah second out health.,80.92642508
374.2430094,Solar,Solar PV,14-04-1980,83.10440644,Also wife place charge.,15,Philippines,6589.01682,Matter seat style walk bring pass world.,Need point administration tell never job leg.,4588241.574,Choose such according.,Laugh of church after.,41.0736108
64.85429808,Coal,Gas Turbine,20-12-1987,83.45980359,Today employee speech service thus establish number.,17,Somalia,3831.7317,Require threat suggest speak.,Party stuff purpose level life ahead.,8915208.733,Dark at staff hard key.,Age on central never this third federal.,60.10425414
552.0765413,Coal,Steam Turbine,16-06-1995,75.126312,Member position success hospital talk speak they product.,79,Portugal,1387.301184,Interesting question baby during number hospital natural.,Understand how top wind simple audience both.,5532428.157,Thought media able sort miss popular together method.,Federal throughout certain scene suffer local.,76.03522675
678.2996556,Wind,Solar PV,27-07-1988,55.00326556,Financial agency kind successful change.,76,Niue,8432.349661,Hit tax effect central blood.,Worry edge big better.,3666100.463,Money item how dinner here.,Practice example step toward.,69.39745003
155.0219729,Wind,Steam Turbine,20-05-1982,75.42765561,New include car talk wonder nor save.,69,Bahamas,8473.252948,Indicate himself lead put home.,Amount manage relationship catch yourself instead.,1362539.12,Task minute thought.,Be every line science say.,71.4829995
340.8229904,Wind,Gas Turbine,02-02-2001,44.98268723,Learn political worry area.,99,Mauritania,498.3529986,Gun could station road.,Activity early ok camera know rule lawyer.,1951382.952,Nor drug be address sure.,Newspaper since to financial hair dinner may specific.,72.25624893
173.5077351,Coal,Gas Turbine,26-12-1993,17.64280011,As whatever wrong.,47,Yemen,1529.588599,Big effort keep project.,Gas professional health near hear.,7686546.74,Option agent quickly reveal.,Difficult old despite some consider.,90.39691238
278.9662953,Solar,Steam Turbine,20-02-1983,27.00989953,Brother property hair certain situation.,48,Hungary,2457.954529,Return food church outside attention.,Religious response deal right.,4686657.034,Hand tough method road save.,Owner bring story art.,64.31926441
120.3220642,Natural Gas,Hydro,18-05-2000,50.49129025,Hot century the claim.,12,Mayotte,8945.613612,Party him contain.,Professional pattern yes technology.,7182308.613,Last make assume executive leave artist measure.,Walk need remain how health current by.,82.32307189
402.7125367,Natural Gas,Gas Turbine,07-03-1993,54.5006935,Season suffer right.,49,Switzerland,9797.442842,Deal movie fund identify since agree end.,Store dinner century develop glass hospital.,8372134.878,Pattern for finally account money join.,Company hundred or suddenly benefit.,11.17122495
190.3043459,Wind,Steam Turbine,18-02-1992,28.99916391,Military baby evidence strong activity feeling media for.,81,Mauritius,8707.224481,Paper research group staff view.,Kitchen threat finally within.,3704739.545,Green they expect moment audience scene smile back.,House also hotel myself support.,84.53934228
229.0699985,Wind,Steam Turbine,13-02-1988,88.88302609,Build return gun hotel.,94,Benin,8051.151759,National third including tough station nothing window.,Commercial meet research range region step success help.,8343728.974,Claim nearly here pressure.,Community everyone painting in pull.,66.4299732
621.9238231,Wind,Solar PV,01-03-1996,44.94194265,Thousand west war laugh.,26,Comoros,1288.354576,Nature question very represent again official would.,Time reason within.,1666989.109,Against region notice job.,Service risk machine suffer town upon.,27.4579378
520.7413251,Natural Gas,Gas Turbine,09-06-1997,88.19717771,Wrong up follow trip.,24,San Marino,6451.742307,Section rest Congress especially yet above fast.,Show wait tonight easy.,2348998.161,Attack help couple high.,Though little life majority purpose today.,31.35030173
320.2108643,Natural Gas,Hydro,07-10-1993,77.36767004,Particularly six beyond future to.,28,Sweden,3203.087505,Even night attack business upon talk.,Hour five their treat base kid.,1622456.905,Member cost future occur model.,Kind daughter knowledge defense court rock single nor.,55.04964335
172.6452486,Coal,Gas Turbine,04-08-1994,16.50531582,Argue drive window tend later thousand.,41,Palestinian Territory,6221.903599,Against rule likely yourself wish still page when.,He understand yourself.,3508467.219,Always candidate until.,Rate administration board trouble race.,79.6448653
771.3914384,Wind,Gas Turbine,06-08-1993,68.15110317,Onto reduce hope management stage.,21,Pitcairn Islands,7052.082271,Experience best story page short national.,School market fine writer daughter simple.,9212159.989,Will nothing prevent.,Girl dark truth fire mind man growth national.,36.91079851
43.39943124,Coal,Hydro,05-12-1985,27.60018045,Open it blood east never agreement.,49,Brazil,7482.517493,Sort mother town leader catch.,Southern official gun statement.,8730889.18,Discover check shake.,Quickly heart opportunity decision.,18.91890416
565.7911479,Solar,Gas Turbine,08-09-1977,73.00074225,Early and light before keep.,8,Trinidad and Tobago,277.8494117,Business discussion air career.,Set as federal clear mission.,6356795.568,Something policy gas second event popular.,Show try computer raise coach the large yes.,94.47038269
483.4036778,Natural Gas,Steam Turbine,25-07-1999,37.97148043,The us fine make recently simple.,3,French Polynesia,9468.105908,Tree decade after read party lead world billion.,Federal available dinner probably market nothing something smile.,9696226.351,Place nation rise number adult red there actually.,Step near church ahead western.,31.46913329
353.439836,Wind,Hydro,02-10-1980,95.16260522,Which relate throw source size decade recognize.,1,New Caledonia,4009.784753,Send family bit when ready avoid.,Worker reflect word or spring.,3230275.806,Test near protect cut high different cultural our.,Nearly security bar drop month either these.,79.3804219
417.8110892,Coal,Solar PV,29-06-1979,35.89408474,Western risk tree.,32,Suriname,613.0246367,Event which look candidate last.,Rule watch determine event reality place buy.,8014427.642,Player song these prepare wall.,School unit great group song owner pattern.,44.31429254
681.8195871,Natural Gas,Steam Turbine,20-01-1997,28.02230989,Large if where inside.,9,Congo,4217.068836,Pattern bank former Republican.,Room civil interest including.,6518666.853,Child player small actually term.,Power hour question model.,25.99302006
882.1774387,Wind,Gas Turbine,09-07-1982,75.63863921,Century safe those language girl forget often sound.,88,Bahamas,8681.745946,Nation name scientist.,Pm process career figure water talk.,5033845.73,Social play production improve party.,Ball language population.,79.01014996
657.3204376,Coal,Hydro,14-09-1974,88.70867171,Success draw method quickly.,21,Belarus,2427.130989,Beyond heart matter technology.,Almost sense mind yes.,5622717.545,Write sense staff own music box.,Whom light tax use especially soon walk the.,38.16898297
166.774968,Coal,Gas Turbine,06-04-1979,51.98324823,Lot energy tree fact arrive brother central.,68,Malta,3795.124718,Truth player would under scientist.,Customer culture look free.,3492135.434,Knowledge entire strategy mission indicate work.,Most represent sit TV event.,23.30854104
433.6958628,Solar,Steam Turbine,13-11-1987,9.405743661,This same hundred box sport continue.,86,Svalbard & Jan Mayen Islands,2815.212527,Already decide idea so there movement.,Whose age why medical.,8753017.36,Light scientist seek wonder north which keep beautiful.,Along sport event police energy behind responsibility customer.,77.64203629
976.0903079,Solar,Hydro,11-04-1979,40.94968137,Rest enjoy life sort environmental first on.,80,Gambia,8690.132579,Avoid final down share trouble reason one his.,Activity well she serve and.,7692840.15,Card name compare.,Concern conference ten write situation range change away.,88.3677878
611.802654,Solar,Solar PV,09-04-1988,68.57313571,Service perform apply according natural get save.,39,Malawi,9352.039966,Head available on everybody wrong.,Use answer surface attorney.,6054897.698,Draw specific heavy science suffer draw.,Foreign often my leave build nor word.,23.43999129
421.5213578,Solar,Gas Turbine,02-11-1982,7.348885636,Room be tend officer.,83,Cote d'Ivoire,7851.708006,Power try support.,Job state room arm.,3775773.243,Mother set instead dark popular.,Be conference anything enter reality really.,85.5263589
282.6424929,Wind,Steam Turbine,13-08-1999,48.01505534,Financial other look with dinner pull simply.,10,Brazil,8583.594283,Decide choose book brother say.,Out nation miss.,3414454.021,Mr break though hair.,Parent service spring west.,43.54526252
60.34046587,Coal,Solar PV,16-09-1978,62.83258645,All it raise exist.,81,Guam,4418.795773,Physical east fact media.,Later ten century keep finish deep general.,4831330.351,Left sister offer executive right.,Simple decade see right key imagine score.,13.59683532
